FormatID,FormatName,FormatVersion,ReleaseDate,ExternalSignature,PUID,MIME,Source
382,ZIP Format,,1989/02/14,zip,x-fmt/263,application/zip,http://cd.textfiles.com/pcmedic9310/MAIN/MISC/COMPRESS/ZIP.PRS
941,Microsoft Powerpoint for Windows,2007 onwards,2007/01/30,pptx,fmt/215,application/vnd.openxmlformats-officedocument.presentationml.presentation,https://microsoft.fandom.com/wiki/Microsoft_Office_2007
665,Portable Network Graphics,1.1,1998/12/31,png,fmt/12,image/png,http://www.libpng.org/pub/png/spec/1.0/
1016,Acrobat PDF 1.7 - Portable Document Format,1.7,2006/11,pdf,fmt/276,application/pdf,https://archive.org/details/pdf1.7
770,Acrobat PDF/A - Portable Document Format,1a,01 Oct 2005,pdf,fmt/95,application/pdf,https://www.nationalarchives.gov.uk/PRONOM/fmt/95
658,Quicktime,,1991/12/02,mov qtm,x-fmt/384,video/quicktime,https://thisdayintechhistory.com/12/02/apple-releases-quicktime/
655,Audio/Video Interleaved Format,,1992/11/10,avi,fmt/5,video/x-msvideo,https://en.wikipedia.org/wiki/Audio_Video_Interleave
1103,3GPP Audio/Video File,,2003-04-04,3gp 3gpp,fmt/357,audio/3gpp video/3gpp,https://portal.3gpp.org/desktopmodules/Specifications/SpecificationDetails.aspx?specificationId=1441
924,MPEG-4 Media File,,1998,mp4 m4v m4a f4v f4a,fmt/199,application/mp4 video/mp4,https://books.google.nl/books?id=ftRvA08WcM4C&printsec=frontcover&hl=nl&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
1893,TRIM Context Reference File,,2013/09,tr5 txt,fmt/1085,,https://community.opentext.com/cfs-file/__key/communityserver-discussions-components-files/236/RM8.0_5F00_ReleaseNotes.pdf
673,Exchangeable Image File Format (Uncompressed),2.1,1998/12,tif tiff,x-fmt/388,image/tiff,https://www.cipa.jp/std/documents/e/DC-008-2012_E.pdf
1255,ISO 9660 Disk Image File,,1988,iso toast cdr dmg bin,fmt/468,,https://dubeyko.com/development/FileSystems/ISO9960/ISO9960.html
134,Microsoft Powerpoint Presentation,95,1995/08/24,ppt,fmt/125,application/vnd.ms-powerpoint,https://microsoft.fandom.com/wiki/Microsoft_Office_95
885,Microsoft PowerPoint for Macintosh,4.0,1994,ppt,fmt/179,application/vnd.ms-powerpoint,https://en.wikipedia.org/wiki/List_of_Macintosh_software_published_by_Microsoft
886,Microsoft PowerPoint for Macintosh,98,1999/02,ppt,fmt/180,application/vnd.ms-powerpoint,https://archive.org/details/X04-66827
887,Microsoft PowerPoint for Macintosh,2001,2000/10,ppt,fmt/181,application/vnd.ms-powerpoint,https://archive.org/details/X06-02709
888,Microsoft PowerPoint for Macintosh,X,2001,ppt,fmt/182,application/vnd.ms-powerpoint,https://www.macintoshrepository.org/1329-microsoft-office-x
133,Microsoft PowerPoint Presentation,4.x,1994/01/17,ppt,x-fmt/88,application/vnd.ms-powerpoint,https://www.itpro.com/email-clients/25623/microsoft-office-is-25-today
351,Microsoft Access Database File,97,1996/02/28,mdb mda mdt mde,x-fmt/239,application/msaccess,https://microsoft.fandom.com/wiki/Microsoft_Office_97
1420,RIFF Palette Format,,1991/08,pal,fmt/624,,https://www.aelius.com/njh/wavemetatools/doc/riffmci.pdf
678,Microsoft Excel 2.x Worksheet (xls),2,1987/08/29,xls,fmt/55,application/vnd.ms-excel,https://winworldpc.com/product/microsoft-excel/2-0
670,Raw JPEG Stream,,1992,jpe jpg jpeg jif jfif jfi,fmt/41,image/jpeg,https://jpeg.org/jpeg/
676,Exchangeable Image File Format (Compressed),2.2,2002/04,jpg jpeg,x-fmt/391,image/jpeg,https://www.cipa.jp/std/documents/e/DC-008-2012_E.pdf
767,OLE2 Compound Document Format,,2003,,fmt/111,,https://www.openoffice.org/sc/compdocfileformat.pdf
910,Microsoft Office Open XML,2007 onwards,2006/12/07,,fmt/189,,http://officeopenxml.com/
733,Microsoft Word for Windows Document,1.0,1989/11/15,doc,fmt/37,application/msword,https://archive.org/details/mswordwin10
734,Microsoft Word for Windows Document,2.0,1991,doc,fmt/38,application/msword,https://archive.org/details/microsoft-word-2.0-for-windows_202008
688,Microsoft Word Document,6.0/95,1993,doc,fmt/39,application/msword,https://winworldpc.com/product/microsoft-word/6x
1260,Microsoft Office Owner File,,1990/10/01,doc docx,fmt/473,,https://web.archive.org/web/20101006110150/https://channel9.msdn.com/Series/History/The-History-of-Microsoft-1990
1401,Microsoft Word (Generic),6.0-2003,2003,doc,fmt/609,application/msword,
188,Microsoft Word for Macintosh Document,X,2001/11/19,doc,x-fmt/129,application/msword,https://apple.fandom.com/wiki/Microsoft_Office_v._X
190,Stationery for Mac OS X,,1991/05/13,doc,x-fmt/131,,https://apple.fandom.com/wiki/System_7
11,Microsoft Word for Macintosh Document,6.0,1993,doc,x-fmt/2,application/msword,https://winworldpc.com/product/microsoft-word/6x
405,Microsoft Word for MS-DOS Document,3.0,1986/4/10,doc,x-fmt/273,application/msword,https://winworldpc.com/product/microsoft-word/3x-dos
406,Microsoft Word for MS-DOS Document,1.x - 4.0,1983/10/01,doc,x-fmt/274,application/msword,https://archive.org/details/microsoft-word-1.00-for-dos
407,Microsoft Word for MS-DOS Document,5.0 - 5.4,1989/04,doc,x-fmt/275,application/msword,https://winworldpc.com/product/microsoft-word/5x-dos
408,Microsoft Word for MS-DOS Document,5.5,1990/10/04,doc,x-fmt/276,application/msword,https://www.betaarchive.com/database/view_release.php?uuid=102dac1a-7e57-4460-8012-8aae006a754b
492,Interleaf Document,,1985,doc,x-fmt/329,,https://retrocomputing.stackexchange.com/questions/19900/what-is-the-name-of-the-publishing-software-used-at-ibm-in-the-late-80s
